city,avgCoveredCharges,averagePayments
AMES,12437,4315
BETTENDORF,9357,4130
CARROLL,12343,4897
CEDAR FALLS,9170,4014
CEDAR RAPIDS,13392,4434
CLINTON,11466,5246
COUNCIL BLUFFS,16968,4864
DAVENPORT,10458,4257
DES MOINES,15367,5017
DUBUQUE,10404,3988
FORT DODGE,14173,4445
FORT MADISON,8851,4718
GRINNELL,9967,4976
IOWA CITY,17406,6399
KEOKUK,9162,4818
MARSHALLTOWN,8779,4777
MASON CITY,11748,4709
MUSCATINE,12391,6079
NEWTON,10386,5083
OTTUMWA,11653,4500
SIOUX CITY,11939,4551
SPENCER,9284,4437
SPIRIT LAKE,7839,5250
WATERLOO,10217,4419
WEST BURLINGTON,12396,4451
