city,avgCoveredCharges,averagePayments
ALABASTER,36290,6508
ALEXANDER CITY,11088,6657
ANDALUSIA,23508,6560
ANNISTON,23160,6484
ASHLAND,11548,6342
ATHENS,16658,7071
ATMORE,24409,6228
BAY MINETTE,13060,7419
BESSEMER,28406,7007
BIRMINGHAM,39189,7182
BOAZ,16320,6775
BREWTON,11997,6429
CARROLLTON,13347,9195
CENTRE,19816,7504
CLANTON,9846,6936
CULLMAN,22231,6570
DADEVILLE,5797,7494
DECATUR,23307,6588
DOTHAN,29677,6593
ENTERPRISE,39834,6368
EUFAULA,14025,7122
EUTAW,6728,8404
EVERGREEN,8722,6361
FAIRHOPE,20064,6087
FAYETTE,21383,6893
FLORENCE,31315,6468
FOLEY,40310,6579
FORT PAYNE,27517,6042
GADSDEN,50266,6290
GENEVA,9113,6717
GUNTERSVILLE,18223,6179
HALEYVILLE,12450,6581
HAMILTON,18480,6532
HARTSELLE,31053,5993
HUNTSVILLE,29038,7155
JACKSONVILLE,22683,6483
JASPER,25147,6774
MOBILE,22920,6545
MONROEVILLE,15112,6560
MONTGOMERY,30153,7508
MOULTON,13806,7243
MUSCLE SHOALS,32778,6198
NORTHPORT,28732,7917
ONEONTA,16464,7395
OPELIKA,12563,7180
OPP,16595,6135
OZARK,11134,6774
PELL CITY,20178,7753
PHENIX CITY,18785,6562
PRATTVILLE,26022,5928
RUSSELLVILLE,18423,6595
SCOTTSBORO,14539,6609
SELMA,27875,8014
SHEFFIELD,16407,7311
SYLACAUGA,31379,6782
TALLADEGA,18954,7212
TALLASSEE,11053,7191
TROY,13969,6824
TUSCALOOSA,26796,7253
VALLEY,11666,7030
WINFIELD,18880,6262
