city,avgCoveredCharges,averagePayments
BURLINGTON,5450,6954
COFFEYVILLE,9071,4314
DODGE CITY,14091,5156
EL DORADO,15447,5223
ELKHART,5740,5734
EMPORIA,10829,5036
FORT SCOTT,18162,5938
GARDEN CITY,13428,7130
GREAT BEND,8800,4414
HAYS,27341,5864
HUTCHINSON,17828,5404
KANSAS CITY,20714,5562
LAWRENCE,11698,4884
LEAVENWORTH,18213,4610
MANHATTAN,11520,4438
MCPHERSON,8512,5960
NEWTON,12566,4331
OLATHE,17909,4497
OTTAWA,11014,5411
OVERLAND PARK,23158,5116
PITTSBURG,17209,5755
PRATT,9700,6432
SALINA,15067,4973
SHAWNEE MISSION,22335,4552
TOPEKA,16626,5127
WICHITA,18982,4818
