city,avgCoveredCharges,averagePayments
ALBERT LEA,12138,6014
ALEXANDRIA,16975,6549
AUSTIN,14803,6159
BEMIDJI,13132,6152
BRAINERD,13380,6411
BUFFALO,16675,7118
BURNSVILLE,20837,6370
CAMBRIDGE,22315,6837
COON RAPIDS,26106,6469
DETROIT LAKES,14868,8008
DULUTH,14287,6795
EDINA,20455,6191
FAIRMONT,15125,7870
FARIBAULT,10733,7646
FERGUS FALLS,15936,5723
FRIDLEY,30688,6117
GRAND RAPIDS,10948,6176
HASTINGS,22063,6789
HIBBING,16768,6783
HUTCHINSON,19797,7875
MANKATO,15212,6826
MAPLE GROVE,14765,5559
MAPLEWOOD,18960,6493
MINNEAPOLIS,27911,10066
NORTHFIELD,17628,6903
OWATONNA,18613,7436
PRINCETON,19110,7208
RED WING,12888,6565
ROBBINSDALE,21892,6536
ROCHESTER,18874,9086
SAINT CLOUD,20405,7821
SAINT LOUIS PAR,9754,6388
SAINT PAUL,23040,7354
SHAKOPEE,18706,6412
STILLWATER,14348,5709
VIRGINIA,11535,6715
WACONIA,15304,5735
WILLMAR,14704,7348
WINONA,12404,7065
WOODBURY,18362,5891
WORTHINGTON,11986,6961
WYOMING,15502,6537
