city,avgCoveredCharges,averagePayments
ATLANTIS,92707,11946
AVENTURA,93600,12271
BOCA RATON,75928,10281
BOYNTON BEACH,64263,11807
BRADENTON,49203,10616
BRANDON,105835,12712
CLEARWATER,54144,10204
DAYTONA BEACH,69100,11441
DELRAY BEACH,68611,10526
FORT LAUDERDALE,90730,12457
FORT MYERS,46068,10746
GAINESVILLE,56243,15682
HIALEAH,62992,14747
HOLLYWOOD,67444,13123
HUDSON,80924,9589
JACKSONVILLE,89640,12218
KISSIMMEE,102332,13628
LAKELAND,85755,10789
LARGO,123051,12044
LEESBURG,55610,9959
MARGATE,88512,10918
MELBOURNE,54316,9625
MIAMI,86958,15286
MIAMI BEACH,80162,13654
NAPLES,43310,10385
OCALA,61319,9956
ORLANDO,85218,13971
PALM BEACH GARD,71648,10547
PANAMA CITY,37456,10132
PENSACOLA,68476,10962
PLANTATION,81744,10517
PORT CHARLOTTE,88331,10694
PUNTA GORDA,86974,9848
SAINT PETERSBUR,94898,12891
SANFORD,84082,10321
SARASOTA,61795,10542
SOUTH MIAMI,89025,15579
TAMPA,96773,15466
TAVARES,48436,9874
THE VILLAGES,48024,9522
WESTON,46942,10588
WINTER HAVEN,55371,10267
ZEPHYRHILLS,80613,10855
