city,avgCoveredCharges,averagePayments
ARCADIA,10248,5034
ATLANTIS,31952,5365
AVENTURA,35219,5253
BARTOW,20566,4605
BOCA RATON,18463,4961
BOYNTON BEACH,28158,5463
BRADENTON,26446,4760
BRANDON,29826,5066
BROOKSVILLE,40332,5179
CAPE CORAL,20322,4583
CLEARWATER,16184,4901
CLERMONT,30681,4724
COCOA BEACH,20064,4953
CORAL GABLES,38262,6387
CORAL SPRINGS,21095,5346
CRESTVIEW,34413,5209
CRYSTAL RIVER,15546,4528
DADE CITY,25069,4625
DAVENPORT,33434,4919
DAYTONA BEACH,14273,5001
DEFUNIAK SPRING,11949,4507
DELAND,14681,4877
DELRAY BEACH,35228,4796
DUNEDIN,16457,4457
ENGLEWOOD,21702,4395
FERNANDINA BEAC,13184,4611
FORT LAUDERDALE,20398,5520
FORT MYERS,18813,4901
FORT PIERCE,44232,5632
FORT WALTON BEA,43889,4758
GAINESVILLE,28413,6929
GULF BREEZE,18706,4233
HIALEAH,34725,6892
HOLLYWOOD,32918,5953
HOMESTEAD,30814,6321
HUDSON,29075,4412
INVERNESS,18767,4263
JACKSONVILLE,21559,5714
JACKSONVILLE BE,19331,4339
JAY,16569,5249
JUPITER,20564,5443
KEY WEST,29640,6874
KISSIMMEE,32845,5386
LAKE CITY,20521,5288
LAKE WALES,30991,4410
LAKELAND,21895,4888
LARGO,32776,5027
LEESBURG,17578,4596
LEHIGH ACRES,22524,4754
LOXAHATCHEE,35824,6095
MARGATE,30351,5147
MARIANNA,13212,4757
MELBOURNE,16244,4688
MIAMI,28693,7276
MIAMI BEACH,28299,6582
MILTON,18379,4840
MIRAMAR,33709,5744
MIRAMAR BEACH,20758,4270
NAPLES,25402,4701
NEW PORT RICHEY,14165,4345
NEW SMYRNA BEAC,13100,4545
OCALA,28764,4452
OCOEE,20467,5212
OKEECHOBEE,28730,5361
ORANGE CITY,15158,4618
ORANGE PARK,42231,5158
ORLANDO,26355,5718
PALATKA,18688,4946
PALM BAY,17074,4473
PALM BEACH GARD,28909,4716
PALM COAST,13300,5398
PANAMA CITY,27823,4883
PEMBROKE PINES,32969,5538
PENSACOLA,23549,4864
PERRY,6532,5232
PLANT CITY,16534,5064
PLANTATION,36573,5750
POMPANO BEACH,20005,5172
PORT CHARLOTTE,26170,4873
PORT SAINT LUCI,33012,5639
PUNTA GORDA,23967,4459
ROCKLEDGE,17843,4676
SAFETY HARBOR,17688,4410
SAINT AUGUSTINE,26276,5456
SAINT CLOUD,19878,4688
SAINT PETERSBUR,29791,4995
SANFORD,20634,4841
SARASOTA,22971,4681
SEBASTIAN,25824,4824
SEBRING,19176,4741
SOUTH MIAMI,32531,6781
STUART,25465,4932
SUN CITY CENTER,25903,4440
TALLAHASSEE,27911,5171
TAMARAC,33375,4833
TAMPA,23070,5571
TARPON SPRINGS,18134,4360
TAVARES,17433,4546
THE VILLAGES,18514,4360
TITUSVILLE,16496,4903
TRINITY,35411,4603
VENICE,20902,4585
VERO BEACH,12062,5426
WELLINGTON,23775,5589
WEST PALM BEACH,28506,5825
WESTON,13948,4745
WINTER HAVEN,22168,4673
ZEPHYRHILLS,26826,4531
