city,avgCoveredCharges,averagePayments
ATLANTIS,103965,11268
AVENTURA,125319,14219
BOCA RATON,76264,10381
BOYNTON BEACH,79415,11637
BRADENTON,66101,10275
BRANDON,84708,10798
BROOKSVILLE,122487,10783
CLEARWATER,60425,10040
DAYTONA BEACH,42526,11229
DELRAY BEACH,102229,10141
FORT LAUDERDALE,98975,10400
FORT MYERS,46001,10712
FORT PIERCE,94185,13384
GAINESVILLE,75984,13022
HIALEAH,75773,14534
HOLLYWOOD,60746,13954
INVERNESS,66986,9321
JACKSONVILLE,62681,11669
KISSIMMEE,104992,11190
LAKELAND,57269,10457
LEESBURG,48840,9828
MARGATE,93761,10827
MELBOURNE,59999,9998
MIAMI,100208,15074
MIAMI BEACH,87474,13615
NAPLES,75296,10481
OCALA,80211,9723
OCOEE,70706,10944
ORANGE PARK,106874,10117
ORLANDO,63065,11919
PALM BEACH GARD,90976,10772
PANAMA CITY,54709,10001
PENSACOLA,52459,10678
PLANTATION,91190,10291
PORT CHARLOTTE,83928,10224
PUNTA GORDA,56066,9519
SAFETY HARBOR,64514,9342
SAINT AUGUSTINE,55735,11337
SAINT PETERSBUR,99952,13175
SANFORD,71240,10717
SARASOTA,52888,10198
SEBRING,63009,10723
STUART,90492,11359
TALLAHASSEE,79148,11328
TAMPA,88443,12399
TAVARES,72276,10362
THE VILLAGES,55387,9848
TRINITY,121891,10350
VENICE,64921,9596
VERO BEACH,37014,12859
WINTER HAVEN,66532,10625
ZEPHYRHILLS,81237,9697
