city,avgCoveredCharges,averagePayments
ATLANTIS,44266,6307
AVENTURA,50393,6576
BARTOW,22990,5532
BOCA RATON,23357,5679
BOYNTON BEACH,34722,6431
BRADENTON,32066,5734
BRANDON,46350,6051
BROOKSVILLE,58753,5575
CAPE CORAL,21220,5319
CLEARWATER,21605,5793
CLERMONT,44978,5568
CORAL GABLES,51698,8189
CORAL SPRINGS,30083,6433
CRYSTAL RIVER,26915,5399
DAVENPORT,54964,5856
DAYTONA BEACH,18572,5830
DELAND,20426,5851
DELRAY BEACH,35846,5970
DUNEDIN,27909,5233
ENGLEWOOD,48896,5284
FORT LAUDERDALE,32899,6502
FORT MYERS,22191,5867
FORT PIERCE,83114,7512
FORT WALTON BEA,49814,5408
GAINESVILLE,34842,7732
HIALEAH,34972,8086
HOLLYWOOD,36833,7013
HOMESTEAD,38977,8148
HUDSON,40229,5234
INVERNESS,24735,5224
JACKSONVILLE,28622,6672
JUPITER,37335,5622
KISSIMMEE,56142,6727
LAKE CITY,24798,6024
LAKELAND,31280,5722
LARGO,37329,5724
LEESBURG,22350,5505
LEHIGH ACRES,27248,5674
MARGATE,50293,6151
MELBOURNE,24327,5317
MIAMI,35590,8789
MIAMI BEACH,36103,7892
NAPLES,27040,5689
OCALA,27183,5264
ORANGE CITY,21226,5486
ORANGE PARK,48901,5663
ORLANDO,33749,6656
PALM BEACH GARD,33863,5686
PALM COAST,21681,6558
PANAMA CITY,26669,5688
PEMBROKE PINES,47700,6497
PENSACOLA,28386,5768
PLANTATION,56980,6790
POMPANO BEACH,20604,6088
PORT CHARLOTTE,48509,5734
PORT SAINT LUCI,48081,6026
PUNTA GORDA,25062,5291
ROCKLEDGE,17717,5591
SAFETY HARBOR,21215,5236
SAINT AUGUSTINE,30610,6553
SAINT PETERSBUR,39377,5882
SANFORD,26121,5697
SARASOTA,28660,6250
SEBASTIAN,28688,5650
SEBRING,28086,5732
SOUTH MIAMI,60746,8694
STUART,37319,5839
SUN CITY CENTER,46932,5230
TALLAHASSEE,26307,6161
TAMARAC,39713,5686
TAMPA,38284,7173
TAVARES,20395,5490
THE VILLAGES,20658,5268
TITUSVILLE,21389,5495
TRINITY,49239,5329
VENICE,23262,5220
VERO BEACH,14266,5870
WELLINGTON,36085,6537
WEST PALM BEACH,35184,5986
WESTON,23819,5826
WINTER HAVEN,33100,5672
ZEPHYRHILLS,31694,5435
