city,avgCoveredCharges,averagePayments
APPLETON,16723,9558
BELOIT,45673,11103
BROOKFIELD,23705,9336
EAU CLAIRE,27635,10974
FOND DU LAC,22582,9544
GREEN BAY,23817,9802
JANESVILLE,33699,10881
KENOSHA,29816,10372
LA CROSSE,31074,10707
MADISON,35520,13562
MARINETTE,23802,9858
MARSHFIELD,42559,16437
MENOMONEE FALLS,18687,8927
MEQUON,40073,9299
MILWAUKEE,35847,12947
OCONOMOWOC,20600,9147
OSHKOSH,35780,11942
RACINE,23994,10886
STEVENS POINT,14907,9352
WAUKESHA,24609,9837
WAUSAU,31670,9733
WEST ALLIS,32161,9585
WESTON,18518,10208
WISCONSIN RAPID,16615,10266
WOODRUFF,22850,11194
