city,avgCoveredCharges,averagePayments
ALTON,28432,6777
ARLINGTON HEIGH,26352,7612
AURORA,41405,8006
BARRINGTON,19944,7606
BELLEVILLE,25387,7040
BERWYN,24965,9174
BLOOMINGTON,38760,11688
BLUE ISLAND,25446,8305
CARBONDALE,15421,7261
CENTRALIA,15484,7559
CHICAGO,36401,10637
DANVILLE,30518,7455
DECATUR,18037,7445
DEKALB,38255,7324
DOWNERS GROVE,30111,8126
EFFINGHAM,14621,6679
ELGIN,35476,8765
ELK GROVE VILLA,37549,7259
ELMHURST,35859,9121
EVANSTON,40336,9846
EVERGREEN PARK,30793,7611
FREEPORT,17798,7331
GALESBURG,37130,8532
GENEVA,32735,7078
HARRISBURG,13284,7105
HARVEY,24205,8035
HAZEL CREST,27872,7719
HERRIN,22657,6804
HINSDALE,39152,7837
HOFFMAN ESTATES,41558,8451
JOLIET,36055,7574
KANKAKEE,39863,8303
LA GRANGE,30977,7764
LAKE FOREST,36656,7428
LIBERTYVILLE,51029,9296
MARION,67768,8089
MARYVILLE,21177,6610
MATTOON,18161,7101
MAYWOOD,29210,11732
MCHENRY,27490,7669
MELROSE PARK,58943,8853
MOUNT VERNON,19034,6690
NAPERVILLE,34233,7593
NEW LENOX,23013,7535
NORMAL,26309,8446
OAK LAWN,30284,10439
OAK PARK,33996,9033
OLYMPIA FIELDS,29299,9231
OTTAWA,18486,8324
PALOS HEIGHTS,34169,9381
PARK RIDGE,36157,9831
PEKIN,41640,7311
PEORIA,33116,7863
PERU,16249,7843
QUINCY,36958,9166
ROCK ISLAND,14487,6964
ROCKFORD,28545,7892
SILVIS,17308,7027
SKOKIE,28021,8391
SPRINGFIELD,19832,7957
STERLING,32117,7200
URBANA,33330,8909
WATSEKA,11165,7732
WAUKEGAN,45992,8489
WINFIELD,39721,8046
WOODSTOCK,30978,7484
