city,avgCoveredCharges,averagePayments
ALTON,42764,10093
ARLINGTON HEIGH,47735,11504
AURORA,67840,12250
BARRINGTON,44968,11271
BELLEVILLE,34067,10388
BERWYN,50429,14411
BLOOMINGTON,46655,11534
BOLINGBROOK,55738,13631
BREESE,25232,11246
CARBONDALE,35882,11078
CENTRALIA,38285,11222
CHICAGO,59512,15934
DANVILLE,49992,10984
DECATUR,40104,10976
DEKALB,46712,10796
DOWNERS GROVE,53846,10637
EFFINGHAM,23640,10418
ELGIN,65057,11701
ELK GROVE VILLA,60647,10924
ELMHURST,59834,11100
EVANSTON,53492,13278
EVERGREEN PARK,52874,11595
FREEPORT,35038,10813
GALESBURG,51697,13123
GENEVA,57291,10928
GLENDALE HEIGHT,60624,13886
GRANITE CITY,112747,12687
HARVEY,59026,12345
HAZEL CREST,51444,11600
HERRIN,36781,10480
HINSDALE,58854,12755
HOFFMAN ESTATES,57267,11325
JACKSONVILLE,35732,11812
JOLIET,58736,11476
KANKAKEE,43571,12178
LA GRANGE,65884,11937
LAKE FOREST,44245,10788
LIBERTYVILLE,67570,12751
MACOMB,32390,11869
MARION,64960,10452
MARYVILLE,30253,10066
MATTOON,40284,11680
MAYWOOD,44868,17156
MCHENRY,42197,10842
MELROSE PARK,91062,11258
MORRIS,45207,11581
MOUNT VERNON,37806,11496
NAPERVILLE,44584,11375
NEW LENOX,40889,12590
NORMAL,35621,11128
OAK LAWN,53536,14307
OAK PARK,50113,13358
OLYMPIA FIELDS,48505,13604
OTTAWA,38229,12459
PALOS HEIGHTS,55204,11525
PARK RIDGE,51021,15970
PEKIN,39324,10355
PEORIA,51741,11995
PERU,46893,11856
PONTIAC,44074,14333
QUINCY,41507,12401
ROCK ISLAND,29846,10226
ROCKFORD,61034,13021
SILVIS,29955,10422
SKOKIE,45212,12504
SPRINGFIELD,39547,11518
STERLING,42064,11021
URBANA,54651,11910
WAUKEGAN,74912,12832
WINFIELD,64561,10720
WOODSTOCK,39581,11452
