city,avgCoveredCharges,averagePayments
ANDERSON,36803,9094
BEECH GROVE,27152,8493
BLOOMINGTON,33665,9087
COLUMBUS,23093,8954
CRAWFORDSVILLE,43162,8900
CROWN POINT,26900,9066
DYER,31346,9173
ELKHART,38858,13701
EVANSVILLE,36098,8511
FORT WAYNE,39257,9138
FT WAYNE,38399,8107
GOSHEN,30658,8707
GREENFIELD,19827,8519
HOBART,27438,8979
INDIANAPOLIS,41677,10844
KOKOMO,30733,8511
LA PORTE,48297,9920
LAFAYETTE,41856,9127
LAWRENCEBURG,23219,8813
MARION,30282,9281
MICHIGAN CITY,29092,9043
MISHAWAKA,40081,9920
MUNCIE,38740,9786
MUNSTER,25986,9238
NEW ALBANY,23937,8265
NEW CASTLE,31884,9885
RICHMOND,21872,10062
SOUTH BEND,36886,9850
TERRE HAUTE,36432,9188
VALPARAISO,39731,8767
VINCENNES,21294,8154
