city,avgCoveredCharges,averagePayments
ALAMEDA,50802,11010
ANAHEIM,45343,9404
ANTIOCH,70075,11860
APPLE VALLEY,43480,9683
ARCADIA,71438,10728
ARROYO GRANDE,46840,9008
AUBURN,50862,8756
BAKERSFIELD,58274,9860
BERKELEY,106779,14957
BURBANK,102477,10428
BURLINGAME,75958,10136
CARMICHAEL,59783,11608
CASTRO VALLEY,58128,11683
CHICO,43287,8917
CHINO,25401,10145
CHULA VISTA,84268,11586
CLOVIS,47348,9691
CONCORD,104158,10987
CORONA,42233,10136
COVINA,33957,11722
CRESCENT CITY,42047,14100
DALY CITY,111416,12554
DOWNEY,72281,10690
ENCINO,56798,8533
ESCONDIDO,50393,8959
EUREKA,51564,10231
FAIRFIELD,138240,13985
FOLSOM,49042,11557
FONTANA,16665,8471
FOUNTAIN VALLEY,89162,14380
FREMONT,128686,12818
FRESNO,37772,10373
FULLERTON,73661,9306
GARDENA,46529,11641
GILROY,102165,12353
GLENDALE,81696,12392
GLENDORA,36534,9421
GRASS VALLEY,46876,9286
GREENBRAE,70523,10724
HANFORD,35047,9919
HAYWARD,79743,14266
HEMET,39188,9347
HOLLYWOOD,39501,12994
HUNTINGTON BEAC,35361,9607
HUNTINGTON PARK,50544,11957
INGLEWOOD,67758,10948
JOSHUA TREE,40961,10631
LA JOLLA,74212,8386
LA MESA,53833,9939
LA PALMA,37293,10983
LAGUNA HILLS,60126,8148
LAKEWOOD,91836,10211
LODI,94508,9649
LOMA LINDA,60777,15215
LONG BEACH,59114,11878
LOS ANGELES,88436,13479
LOS BANOS,64315,28103
MADERA,38840,11792
MARYSVILLE,73505,14340
MERCED,57570,12650
MISSION HILLS,149420,14417
MISSION VIEJO,93092,13855
MODESTO,96052,11228
MONTCLAIR,23824,11596
MONTEBELLO,31132,11014
MONTEREY,62212,11742
MONTEREY PARK,149027,18393
MOUNTAIN VIEW,77813,10494
MURRIETA,34923,9111
NATIONAL CITY,37332,11624
NEWPORT BEACH,39482,8315
NORTHRIDGE,95461,11186
OAKLAND,100485,16781
OCEANSIDE,52753,10351
ORANGE,55452,11440
OROVILLE,44234,9820
OXNARD,66932,9753
PALM SPRINGS,74739,9902
PALMDALE,52905,9285
PANORAMA CITY,27161,12105
PARADISE,89215,8957
PASADENA,81461,10458
PLACERVILLE,90998,11125
PLEASANTON,80114,10731
POMONA,81625,12008
PORTERVILLE,66207,10613
POWAY,47759,8197
RANCHO MIRAGE,76334,8077
RED BLUFF,42261,10079
REDDING,41820,10280
REDWOOD CITY,110473,10358
RIVERSIDE,81923,12224
ROSEVILLE,40824,9386
SACRAMENTO,59022,13044
SAINT HELENA,55563,11873
SALINAS,62950,15343
SAN BERNARDINO,70370,11564
SAN DIEGO,54012,11133
SAN DIMAS,52904,8724
SAN FRANCISCO,95163,17602
SAN JOSE,96758,14288
SAN LUIS OBISPO,88370,9016
SAN PABLO,82833,12180
SAN PEDRO,88138,11645
SAN RAMON,106205,10028
SANTA BARBARA,34260,9491
SANTA CRUZ,105083,12467
SANTA MARIA,38441,10012
SANTA MONICA,54610,9203
SANTA ROSA,74487,11182
SHERMAN OAKS,37788,9974
SIMI VALLEY,73258,9609
SONOMA,40425,10730
SONORA,61010,11195
STOCKTON,87626,10664
SUN CITY,40117,8520
TARZANA,94621,9553
TEMPLETON,123543,9226
THOUSAND OAKS,94374,11647
TORRANCE,75917,9858
TRACY,64350,10040
TULARE,35347,10372
TURLOCK,76631,9896
UKIAH,22233,9723
UPLAND,46906,8930
VALENCIA,64970,8468
VALLEJO,48728,11929
VAN NUYS,50456,11871
VENTURA,59497,8377
VICTORVILLE,31443,9045
VISALIA,60448,10031
WALNUT CREEK,132902,13756
WEST HILLS,110571,9493
WHITTIER,66004,9351
WOODLAND,45327,10266
