city,avgCoveredCharges,averagePayments
ALTUS,11844,3991
ANTLERS,6411,4242
ARDMORE,13204,4170
CLAREMORE,16716,4103
CLINTON,10996,4306
DUNCAN,12212,3790
DURANT,22623,4353
ELK CITY,12383,3704
ENID,26698,4238
GROVE,7775,3745
HENRYETTA,11240,4725
HUGO,10548,4133
IDABEL,7447,4175
LAWTON,10894,3901
MCALESTER,13020,3778
MIAMI,10601,3917
MIDWEST CITY,21219,3749
MUSKOGEE,12053,5598
NORMAN,20402,3895
OKLAHOMA CITY,15183,4468
OKMULGEE,7890,4581
PONCA CITY,16990,3892
POTEAU,8238,3964
PURCELL,5450,4258
SALLISAW,7609,4370
SEMINOLE,8217,4038
SHAWNEE,9458,4104
TAHLEQUAH,9136,4574
TULSA,15218,4713
VINITA,7836,3938
WOODWARD,13532,4093
