state,avgCoveredCharges,averagePayments
AK,119404,30857
AL,82283,18565
AR,68171,19187
AZ,105443,23264
CA,166637,28878
CO,118497,23275
CT,84651,29889
DC,86472,26324
DE,68105,25547
FL,113350,20514
GA,76070,20843
HI,84014,26134
IA,67998,19871
ID,66247,20791
IL,98072,24403
IN,77817,21686
KS,89380,20280
KY,67942,21117
LA,99289,20969
MA,64967,29744
MD,30944,29111
ME,67970,24459
MI,68412,23477
MN,76901,24328
MO,73241,20231
MS,83062,21045
MT,64471,20629
NC,82894,23286
ND,63545,20854
NE,63340,22394
NH,72237,25543
NJ,130168,25999
NM,79670,22671
NV,152732,22933
NY,73126,29668
OH,84205,22246
OK,89825,20785
OR,61184,23757
PA,113661,23373
RI,115995,24916
SC,91050,21940
SD,59819,20433
TN,80497,20808
TX,107551,21607
UT,63071,23872
VA,88422,22578
VT,50860,28758
WA,99462,23409
WI,72584,22665
WV,63239,21136
WY,88057,35622
