state,avgCoveredCharges,averagePayments
AK,90891,29750
AL,66418,19089
AR,65909,18975
AZ,81485,22569
CA,141530,28554
CO,90641,22460
CT,96401,31363
DC,79056,28106
DE,54730,23527
FL,94419,20337
GA,64856,20678
HI,72169,26108
IA,72927,22174
ID,55694,22113
IL,87113,24282
IN,72448,22210
KS,76143,20873
KY,59433,19536
LA,78855,20428
MA,69347,28688
MD,30814,28985
ME,43973,21000
MI,60517,23568
MN,74217,24943
MO,71071,20403
MS,69457,19831
MT,63111,20002
NC,59432,22749
ND,44490,18938
NE,74004,23003
NH,87979,25124
NJ,132915,23760
NM,46710,22653
NV,142313,22564
NY,80222,30467
OH,70185,20981
OK,69174,21551
OR,61219,24694
PA,112209,23625
RI,86827,26389
SC,83822,21405
SD,68402,21722
TN,65800,19180
TX,86969,21111
UT,52578,22072
VA,77691,22345
VT,50566,26836
WA,89697,24611
WI,72312,25453
WV,44692,18601
