state,avgCoveredCharges,averagePayments
AK,103040,30515
AL,76397,18092
AR,61790,18094
AZ,86816,21707
CA,143072,27615
CO,107440,22158
CT,66506,26093
DC,93155,26861
DE,67221,24282
FL,103199,19936
GA,75836,20611
HI,73356,25090
IA,71090,19795
ID,55479,20982
IL,94229,23018
IN,76077,20736
KS,70557,19205
KY,68621,19976
LA,79648,19414
MA,72505,27532
MD,32458,30617
ME,51538,21739
MI,63123,22694
MN,74249,22749
MO,69608,19838
MS,63936,19460
MT,67080,21387
NC,68486,22417
ND,62321,19348
NE,62453,20711
NH,72183,24195
NJ,99278,23083
NM,85604,22032
NV,118367,22440
NY,70136,26875
OH,81330,21613
OK,73048,19262
OR,67142,22694
PA,104858,22128
RI,72537,24244
SC,98635,21021
SD,81259,20516
TN,75271,19565
TX,91890,20962
UT,68781,22704
VA,83998,22787
VT,47299,27732
WA,99795,24411
WI,71608,23009
WV,56695,19528
WY,87657,30326
