state,avgCoveredCharges,averagePayments
AK,66196,17147
AL,50667,12733
AR,36615,11466
AZ,61800,14763
CA,117989,20259
CO,77320,16991
CT,60833,18483
DC,59859,17269
DE,45173,16026
FL,68603,13197
GA,42555,12927
HI,48272,17344
IA,43086,14181
IL,59439,15814
IN,44083,12980
KS,51317,13616
KY,39261,13208
LA,58330,14264
MA,63442,22579
MD,19095,17996
ME,32317,15080
MI,43463,16479
MN,67262,19575
MO,43260,12617
MS,46996,13130
MT,30352,12243
NC,41835,15188
ND,33736,14025
NE,47753,15066
NH,46751,17067
NJ,103649,16624
NM,52218,14464
NV,102883,14755
NY,63432,20246
OH,56166,15133
OK,55081,13122
OR,41103,14096
PA,87796,16602
RI,47565,14862
SC,53650,14326
SD,35696,11413
TN,45552,13151
TX,71511,14371
UT,38140,15802
VA,51481,15382
VT,23585,18345
WA,62784,18172
WI,49751,16212
WV,32732,12277
WY,52101,18624
