state,avgCoveredCharges,averagePayments
AK,63290,21161
AL,49659,11709
AR,37206,12038
AZ,52394,14222
CA,88239,17187
CO,60268,14362
CT,39932,16970
DC,44858,15744
DE,32629,14766
FL,62092,12789
GA,46857,13303
HI,39463,18512
IA,37395,12819
ID,35794,13798
IL,53071,14841
IN,46666,13103
KS,39811,12597
KY,42051,13336
LA,48840,13051
MA,34815,16169
MD,21231,20049
ME,31667,13897
MI,34590,14454
MN,36865,14961
MO,40743,12852
MS,48033,12799
MT,31410,13433
NC,42293,13554
ND,33347,13850
NE,41415,13621
NH,46268,14610
NJ,66640,15059
NM,50767,14985
NV,71782,14137
NY,45435,17088
OH,43077,13260
OK,42672,12472
OR,41007,15328
PA,51015,13679
RI,33838,15601
SC,57557,13651
SD,38663,13408
TN,48672,13186
TX,60653,13908
UT,36502,13992
VA,47709,13248
VT,33633,18156
WA,53039,15499
WI,38093,13795
WV,33555,12548
WY,49155,19637
