state,avgCoveredCharges,averagePayments
AK,77621,29369
AL,66679,15273
AR,50771,15401
AZ,69911,17972
CA,124615,22968
CO,71151,17022
CT,55818,20526
DC,67712,21635
DE,41575,18771
FL,85506,16251
GA,55876,16527
HI,54440,23059
IA,45138,15879
ID,44363,17342
IL,67253,18644
IN,55271,16754
KS,61313,15918
KY,47576,16804
LA,62942,16299
MA,47736,20782
MD,25612,24137
ME,40734,17723
MI,46238,18518
MN,50424,19581
MO,51513,15665
MS,57555,15912
MT,36742,16724
NC,48047,18338
ND,29833,16419
NE,58606,17045
NH,51654,18351
NJ,104704,18725
NM,55406,19876
NV,90065,17626
NY,61440,21855
OH,54234,16644
OK,51902,15835
OR,48072,19111
PA,79691,17879
RI,43939,18415
SC,73080,17808
SD,56425,17973
TN,56060,16163
TX,68143,16870
UT,40236,17750
VA,57851,17353
VT,38449,22735
WA,62419,19282
WI,52360,18325
WV,42201,16275
WY,51274,21498
