city,avgCoveredCharges,averagePayments
AKRON,32977,7132
ASHTABULA,20987,6776
BARBERTON,34658,6749
BEACHWOOD,39817,5408
BEDFORD,33817,5670
CAMBRIDGE,20099,7309
CANTON,15018,6720
CHARDON,32234,5900
CHILLICOTHE,21357,7231
CINCINNATI,27955,7828
CLEVELAND,31667,8941
COLUMBUS,28183,8346
CONCORD,29986,5747
DAYTON,58033,7552
ELYRIA,17792,5985
FAIRFIELD,25058,7683
FINDLAY,16236,6593
FRANKLIN,40366,6451
GALLIPOLIS,19874,6374
GARFIELD HEIGHT,34341,5795
HAMILTON,38125,6302
KETTERING,42794,6908
LAKEWOOD,36400,6096
LANCASTER,17995,6803
LIMA,24348,6450
LORAIN,28710,6243
MANSFIELD,24111,6478
MARIETTA,28009,5863
MARION,20549,6670
MARTINS FERRY,26209,5978
MASSILLON,25439,6020
MAUMEE,22088,6149
MAYFIELD HEIGHT,30809,5735
MIDDLEBURG HEIG,30110,5723
MOUNT VERNON,24146,6695
NEWARK,19755,7607
PARMA,17997,5779
PORTSMOUTH,27066,7482
RAVENNA,24538,5989
SANDUSKY,24590,6295
SPRINGFIELD,25393,7090
STEUBENVILLE,18149,5943
TOLEDO,32230,8402
WARREN,35670,5964
WEST CHESTER,35474,5172
WESTERVILLE,22346,7144
WESTLAKE,21938,6464
YOUNGSTOWN,31452,7092
ZANESVILLE,21177,6902
