city,avgCoveredCharges,averagePayments
AKRON,23828,6757
ALLIANCE,11143,5763
ASHLAND,9010,5843
ASHTABULA,13855,6318
BARBERTON,30904,6413
BATAVIA,14100,6099
BEACHWOOD,22918,4808
BEDFORD,18988,5359
BOARDMAN,16949,5154
BOWLING GREEN,12380,5674
CAMBRIDGE,12455,6740
CANTON,10424,6343
CHARDON,20373,5433
CHILLICOTHE,16587,6153
CINCINNATI,18938,7032
CIRCLEVILLE,16150,6543
CLEVELAND,21833,8290
COLUMBUS,21972,7411
CONCORD,21104,5282
CUYAHOGA FALLS,28337,6250
DAYTON,32881,6934
DELAWARE,15734,6689
DOVER,8049,5614
DUBLIN,13661,5366
EAST LIVERPOOL,11228,5922
ELYRIA,13155,5475
EUCLID,20318,5615
FAIRFIELD,18065,5913
FINDLAY,11389,5591
FRANKLIN,23779,5790
GALLIPOLIS,14578,5811
GARFIELD HEIGHT,23517,5348
GREENVILLE,14155,6331
HAMILTON,19379,6057
KETTERING,20102,6390
LAKEWOOD,22359,5780
LANCASTER,13010,6284
LIMA,18936,6021
LORAIN,16118,5801
MANSFIELD,16030,5637
MARIETTA,14706,5307
MARION,13811,6087
MARTINS FERRY,21539,5627
MASSILLON,16066,5683
MAUMEE,14815,5534
MAYFIELD HEIGHT,19234,5425
MEDINA,20043,5067
MIAMISBURG,21571,5864
MIDDLEBURG HEIG,25007,5361
MOUNT VERNON,11800,6196
NEWARK,12338,6178
NORWALK,18994,6077
OREGON,28116,6088
OXFORD,10162,5383
PARMA,13496,5365
PORTSMOUTH,16561,6623
RAVENNA,22370,5545
RICHMOND HEIGHT,21748,8606
SAINT MARYS,11569,5422
SALEM,12521,5445
SANDUSKY,17870,6146
SIDNEY,13249,5608
SPRINGFIELD,17298,6142
STEUBENVILLE,12818,5737
SYLVANIA,27187,5925
TOLEDO,31468,7550
TROY,24344,5923
WADSWORTH,25922,5013
WARREN,25474,5883
WARRENSVILLE HE,18297,6448
WEST CHESTER,16059,5419
WESTERVILLE,12434,6332
WESTLAKE,14864,6082
WILMINGTON,7691,6544
WOOSTER,5812,5348
XENIA,17996,5278
YOUNGSTOWN,24973,6612
ZANESVILLE,12157,6384
