city,avgCoveredCharges,averagePayments
AKRON,17535,3676
ALLIANCE,9344,3106
ASHTABULA,13202,3457
BARBERTON,20817,3487
BATAVIA,11589,3564
BEACHWOOD,13817,2673
BEDFORD,18602,3252
BOARDMAN,14101,2801
BOWLING GREEN,8304,3074
CAMBRIDGE,7236,3748
CANTON,7795,3428
CHARDON,11227,2916
CHILLICOTHE,9237,3517
CINCINNATI,13337,3930
CIRCLEVILLE,11417,3831
CLEVELAND,15692,4327
COLUMBUS,14613,4232
CONCORD,15995,2904
COSHOCTON,6986,4027
CUYAHOGA FALLS,20542,3519
DAYTON,20820,3690
DEFIANCE,8307,3327
DELAWARE,9699,3673
DOVER,6607,2980
EAST LIVERPOOL,6031,3179
ELYRIA,8414,3043
EUCLID,12192,3063
FAIRFIELD,13934,3493
FINDLAY,9660,3088
FRANKLIN,20052,3260
GALLIPOLIS,8050,3230
GARFIELD HEIGHT,17676,2917
GREENVILLE,9371,3763
HAMILTON,16032,3310
KETTERING,17641,3529
LAKEWOOD,17656,3129
LANCASTER,7425,3262
LIMA,11662,3227
LORAIN,14457,3166
MANSFIELD,10083,3033
MARIETTA,10310,3068
MARION,7468,3426
MASSILLON,12486,3066
MAUMEE,9805,3062
MAYFIELD HEIGHT,9757,3037
MEDINA,13106,2891
MIDDLEBURG HEIG,14664,2985
NEWARK,9812,3503
NORWALK,9687,3140
OREGON,21052,3448
PARMA,9877,2904
PORTSMOUTH,10282,3805
RAVENNA,12638,3023
RICHMOND HEIGHT,15593,4546
SALEM,10652,2944
SANDUSKY,14276,3890
SPRINGFIELD,12660,3578
STEUBENVILLE,9335,3084
SYLVANIA,19535,3241
TOLEDO,18074,4279
TROY,18964,3190
WADSWORTH,18523,2985
WARREN,19817,3110
WARRENSVILLE HE,16083,3471
WEST CHESTER,14404,2899
WESTERVILLE,8559,3537
WESTLAKE,12229,3318
WILMINGTON,7083,3721
XENIA,21121,3093
YOUNGSTOWN,14716,3435
ZANESVILLE,8683,3555
