city,avgCoveredCharges,averagePayments
AKRON,22385,5609
ASHTABULA,13851,5295
BATAVIA,9646,5070
BOARDMAN,20956,4291
CANTON,11095,6050
CHILLICOTHE,9663,5427
CINCINNATI,16049,5999
CLEVELAND,19466,6682
COLUMBUS,17227,6214
CONCORD,25120,4480
DAYTON,28287,5649
DOVER,9365,5283
EAST LIVERPOOL,6873,4944
GALLIPOLIS,11400,4946
GREENVILLE,9505,5129
LAKEWOOD,20260,4760
LIMA,17353,4942
LORAIN,11444,4900
MANSFIELD,10297,4645
MAUMEE,13340,4645
MAYFIELD HEIGHT,20364,4569
MIDDLEBURG HEIG,16014,4782
NEWARK,8702,5367
NORWALK,11146,4810
PARMA,11342,4476
PORTSMOUTH,9749,5636
RICHMOND HEIGHT,16146,6757
SALEM,12982,5575
SANDUSKY,16305,5004
SPRINGFIELD,15787,5182
STEUBENVILLE,13539,4854
TOLEDO,27151,5958
TROY,18867,5324
WARREN,26511,4612
WARRENSVILLE HE,17588,5313
WESTERVILLE,7967,5323
WESTLAKE,14546,5180
YOUNGSTOWN,23087,5512
ZANESVILLE,12442,5266
