city,avgCoveredCharges,averagePayments
AKRON,51217,16520
ASHTABULA,40284,15963
BARBERTON,62644,15974
BATAVIA,35274,14882
BOARDMAN,52258,12923
CANTON,23811,15845
CHARDON,46888,13816
CHILLICOTHE,38225,15865
CINCINNATI,55232,17493
CLEVELAND,60283,20832
COLUMBUS,62801,19100
CONCORD,44354,13349
DAYTON,95571,17505
DOVER,16648,13259
DUBLIN,52864,14362
ELYRIA,36614,13767
FAIRFIELD,50014,14549
FINDLAY,28976,13900
FRANKLIN,68277,14818
GALLIPOLIS,46696,14665
GARFIELD HEIGHT,54754,12658
HAMILTON,68978,15641
KETTERING,68663,15955
LANCASTER,41660,15451
LIMA,51527,14748
LORAIN,37363,14319
MANSFIELD,31348,14250
MARIETTA,52126,13606
MARION,40466,15104
MAUMEE,39959,14501
MAYFIELD HEIGHT,51105,13599
MEDINA,35772,14885
MIDDLEBURG HEIG,58553,12925
NEWARK,29114,14519
OREGON,72559,15851
PARMA,35460,12932
PORTSMOUTH,65265,17636
RAVENNA,36182,13878
SAINT MARYS,26863,13756
SALEM,35628,13811
SANDUSKY,51467,14996
SPRINGFIELD,38718,18185
STEUBENVILLE,30756,14949
SYLVANIA,62132,15526
TOLEDO,96397,21641
TROY,78296,14479
WARREN,51360,14651
WARRENSVILLE HE,53312,15543
WESTERVILLE,48748,16585
WESTLAKE,34406,14251
YOUNGSTOWN,51421,15060
ZANESVILLE,29276,15695
