city,avgCoveredCharges,averagePayments
ABERDEEN,11842,3752
ANACORTES,6113,3763
AUBURN,15518,3980
BELLEVUE,12166,3490
BELLINGHAM,11116,4158
BREMERTON,14481,3734
BURIEN,11802,4026
CENTRALIA,17929,4137
EDMONDS,15999,3957
EVERETT,12955,5040
FEDERAL WAY,19668,4114
GIG HARBOR,20171,4864
KENNEWICK,15503,3851
KIRKLAND,12476,3798
LAKEWOOD,18148,3891
LONGVIEW,11080,4624
MOUNT VERNON,14406,3954
OLYMPIA,13030,3787
PORT ANGELES,7520,3713
PUYALLUP,19764,3797
RENTON,12608,4383
RICHLAND,13081,4006
SEATTLE,13343,4871
SPOKANE,10438,4095
TACOMA,18448,4444
VANCOUVER,13716,4251
WALLA WALLA,13105,3628
WENATCHEE,10478,4023
YAKIMA,9683,4002
