city,avgCoveredCharges,averagePayments
ABERDEEN,16388,8444
AUBURN,34032,8943
BELLEVUE,29401,8108
BELLINGHAM,44870,10410
BREMERTON,30200,8791
BURIEN,26393,8438
CENTRALIA,30593,9372
EDMONDS,34324,9216
EVERETT,27776,9211
FEDERAL WAY,36146,8951
GIG HARBOR,46827,11651
KENNEWICK,21992,8653
KIRKLAND,25271,8280
LAKEWOOD,44032,8652
LONGVIEW,27941,9068
MOSES LAKE,9970,9349
MOUNT VERNON,36510,8690
OLYMPIA,34725,9623
PORT ANGELES,18903,8249
PUYALLUP,41198,8826
RENTON,32944,10621
RICHLAND,24720,8895
SEATTLE,35466,11715
SPOKANE,23230,9013
TACOMA,41368,9703
VANCOUVER,26618,9292
WALLA WALLA,23149,8248
WENATCHEE,21596,8753
YAKIMA,27032,8658
