city,avgCoveredCharges,averagePayments
ABINGTON,92346,12513
ALLENTOWN,61640,13633
ALTOONA,29968,10263
BEAVER,18520,10494
BETHLEHEM,68765,12381
BRADFORD,17723,9931
BRISTOL,81662,11303
BRYN MAWR,74862,11407
BUTLER,30668,9437
CAMP HILL,41080,10234
CARLISLE,28767,9177
CHAMBERSBURG,30517,10432
CLEARFIELD,11732,7896
COAL TOWNSHIP,13011,10106
COALDALE,32628,11448
COATESVILLE,83018,11394
DANVILLE,62324,16652
DARBY,86476,14336
DOYLESTOWN,47839,10740
DREXEL HILL,133995,11792
DUBOIS,24591,10467
EAST STROUDSBUR,44831,13248
EASTON,71126,12415
EPHRATA,29988,9399
ERIE,62007,14912
GETTYSBURG,19800,9732
GREENSBURG,35704,10207
GREENVILLE,21215,8237
HANOVER,16435,11262
HARRISBURG,26866,12897
HAZLETON,32172,9966
HERSHEY,40001,16479
HONESDALE,14309,9947
INDIANA,18645,8740
JOHNSTOWN,27347,11836
KITTANNING,18324,9947
LANCASTER,40502,11007
LANGHORNE,49886,10643
LANSDALE,40633,9074
LEBANON,18082,10507
LEHIGHTON,14524,9242
LEWISBURG,11853,8833
LEWISTOWN,15926,9815
MC KEESPORT,34200,13034
MEADOWBROOK,92812,11634
MEADVILLE,24561,10230
MEDIA,68954,10169
MONONGAHELA,26554,8836
MONROEVILLE,27276,10308
NATRONA,26497,9686
NEW CASTLE,17100,10549
NORRISTOWN,63957,11476
PALMERTON,13846,8780
PAOLI,82893,12201
PHILADELPHIA,107587,16552
PHOENIXVILLE,95506,10703
PITTSBURGH,53054,13158
POTTSTOWN,63526,10636
POTTSVILLE,17247,9318
READING,33857,12126
SAINT MARYS,12612,7071
SAYRE,34354,12391
SCRANTON,32058,10029
SELLERSVILLE,48252,10479
SENECA,12260,7682
SHARON,23393,10183
STATE COLLEGE,22139,8150
UNIONTOWN,12887,9104
UPLAND,164595,13430
WARREN,20963,11002
WASHINGTON,22413,13209
WAYNESBORO,28837,12881
WAYNESBURG,13805,10299
WEST CHESTER,49387,11787
WEST GROVE,50850,8631
WILKES BARRE,37803,11291
WILKES-BARRE,41549,10592
WILLIAMSPORT,26586,10582
WYNNEWOOD,79174,12650
YORK,25461,12529
