city,avgCoveredCharges,averagePayments
ATTLEBORO,15132,7795
AYER,13473,6945
BEVERLY,12935,8270
BOSTON,25714,11767
BRIGHTON,11106,11482
BROCKTON,11068,8956
BURLINGTON,10625,8672
CAMBRIDGE,14155,9969
CLINTON,24388,6981
FALL RIVER,15006,8441
FALMOUTH,8918,7594
FRAMINGHAM,14504,8878
GARDNER,12537,8802
GREENFIELD,15957,7302
HAVERHILL,11713,7484
HOLYOKE,9545,7803
HYANNIS,11522,9560
LAWRENCE,13425,9240
LEOMINSTER,19509,8583
LOWELL,12767,8257
MARLBOROUGH,14530,7941
MELROSE,10814,8156
METHUEN,16210,8190
MILFORD,15621,7704
MILTON,12642,7290
NEEDHAM,11310,6961
NEWBURYPORT,13257,7754
NEWTON,21635,7675
NORTHAMPTON,15778,7075
NORWOOD,11619,7445
PALMER,17339,6909
PITTSFIELD,12531,9105
PLYMOUTH,11244,7740
QUINCY,10983,7599
SALEM,27367,8571
SOUTH WEYMOUTH,14488,7393
SOUTHBRIDGE,13567,8614
SPRINGFIELD,18070,9189
TAUNTON,10608,7602
W CONCORD,15166,7568
WARE,12938,6643
WESTFIELD,17237,6948
WINCHESTER,9643,7403
WORCESTER,21381,10300
