city,avgCoveredCharges,averagePayments
AMORY,9119,2968
BAY SAINT LOUIS,17239,3593
BILOXI,25190,3454
BRANDON,28634,2994
CANTON,13242,3559
CLARKSDALE,16703,4130
CLEVELAND,12124,2917
CORINTH,19257,3157
GREENVILLE,16642,3539
GREENWOOD,12127,3597
GULFPORT,24550,3403
HATTIESBURG,15038,3416
JACKSON,19000,3214
KOSCIUSKO,7076,3240
LAUREL,7878,3137
LUCEDALE,6967,3344
MCCOMB,8060,3423
MERIDIAN,14621,3253
NATCHEZ,23839,3139
NEW ALBANY,12230,3346
OXFORD,14481,3280
PASCAGOULA,19210,3156
PICAYUNE,12063,3460
SOUTHAVEN,13556,3433
TUPELO,10408,3377
VICKSBURG,27010,3613
WAYNESBORO,6233,3192
