city,avgCoveredCharges,averagePayments
CONCORD,20840,7455
DERRY,28771,6342
DOVER,20252,7322
EXETER,17442,7045
KEENE,15948,8007
LACONIA,22595,7448
LEBANON,29764,11076
MANCHESTER,18101,6790
NASHUA,19766,7233
PORTSMOUTH,28660,7002
ROCHESTER,18472,6994
