city,avgCoveredCharges,averagePayments
ADRIAN,21630,6598
ALMA,13036,9285
ALPENA,22266,7712
ANN ARBOR,24814,9379
BATTLE CREEK,14806,7108
BAY CITY,22627,6611
BIG RAPIDS,7024,6881
CADILLAC,13472,6721
CARSON CITY,9963,8469
CHELSEA,16840,6762
CLARE,12364,6506
CLINTON TOWNSHI,15929,7396
COLDWATER,12612,6855
COMMERCE TOWNSH,18903,7618
DEARBORN,22958,8260
DETROIT,26405,10148
EAST CHINA,11060,6446
FARMINGTON HILL,15739,9426
FLINT,22455,9056
FREMONT,14576,6874
GARDEN CITY,14097,8331
GAYLORD,8670,7171
GRAND BLANC,18217,8751
GRAND RAPIDS,14772,8336
GRAYLING,14114,6797
GREENVILLE,11913,6701
GROSSE POINTE,15212,6664
HASTINGS,10387,6928
HOLLAND,12223,6909
HOWELL,18006,7569
IRON MOUNTAIN,18537,6830
JACKSON,21578,7147
KALAMAZOO,22071,8267
LANSING,31149,8373
LAPEER,17206,6671
LIVONIA,17558,6747
LUDINGTON,13314,7768
MARQUETTE,12362,7751
MIDLAND,14296,7499
MONROE,17986,6960
MOUNT CLEMENS,13717,7280
MOUNT PLEASANT,15415,5956
MUSKEGON,11346,6998
OWOSSO,21047,7214
PETOSKEY,14978,7412
PONTIAC,19571,9090
PORT HURON,16198,6799
ROCHESTER,19000,6954
ROYAL OAK,25443,8597
SAGINAW,23456,7585
SAULT SAINTE MA,12397,9161
SOUTHFIELD,24957,8591
ST JOSEPH,15165,7155
TAYLOR,21286,6887
THREE RIVERS,12678,6588
TRAVERSE CITY,20379,7963
TRENTON,23469,7732
TROY,25331,7039
W BLOOMFIELD,26579,6249
WARREN,21366,7587
WAYNE,20755,7420
WYANDOTTE,16374,7066
WYOMING,15544,8230
