city,avgCoveredCharges,averagePayments
ALAMOGORDO,18943,9650
ALBUQUERQUE,34597,11306
ARTESIA,14678,6378
CARLSBAD,33873,6885
CLOVIS,25228,6019
CROWNPOINT,6158,7419
DEMING,26360,6322
ESPANOLA,23001,8944
FARMINGTON,26662,10786
GALLUP,12013,7274
GRANTS,12427,8454
HOBBS,38460,8210
LAS CRUCES,34672,8932
LAS VEGAS,28922,7076
LOS ALAMOS,22521,12198
PORTALES,9774,5160
ROSWELL,41030,7682
SANTA FE,26876,11638
SANTA ROSA,5005,11994
SHIPROCK,8103,6747
SILVER CITY,20831,8015
TAOS,15977,9740
ZUNI,7385,9501
