city,avgCoveredCharges,averagePayments
ANNAPOLIS,9689,9149
BALTIMORE,12988,12237
BEL AIR,7227,6840
BERLIN,6631,6281
BETHESDA,9509,8990
CHESTERTOWN,7543,7090
CHEVERLY,13200,12408
CLINTON,9231,8678
COLUMBIA,10150,9554
CUMBERLAND,13136,12348
EASTON,10173,9579
ELKTON,9020,8479
FREDERICK,10747,10124
GLEN BURNIE,9306,8775
HAGERSTOWN,9165,8630
HAVRE DE GRACE,10654,10014
LA PLATA,9180,8629
LANHAM,9567,9042
LAUREL,9045,8502
LEONARDTOWN,8208,7716
OAKLAND,7836,7396
OLNEY,11483,10794
PRINCE FREDERIC,9030,8488
RANDALLSTOWN,9792,9220
ROCKVILLE,9158,8651
SALISBURY,9229,8704
SILVER SPRING,11064,10440
TAKOMA PARK,12074,11401
TOWSON,9867,9297
WESTMINSTER,9387,8843
