city,avgCoveredCharges,averagePayments
ABILENE,38371,6549
AMARILLO,26965,6977
ARLINGTON,38495,7155
ATHENS,37480,7016
ATLANTA,11190,6653
AUSTIN,38392,7586
BAY CITY,17870,7044
BAYTOWN,44922,7636
BEAUMONT,32475,6496
BEDFORD,30452,6101
BOWIE,18577,7231
BROWNSVILLE,54672,9046
BROWNWOOD,27729,5679
BRYAN,31722,7157
CARROLLTON,22194,7635
COLLEGE STATION,46318,7352
COMANCHE,10614,6619
CONROE,59605,7672
CORPUS CHRISTI,42866,7338
CORSICANA,24516,6887
CROCKETT,32646,6578
CYPRESS,56774,7868
DALLAS,37142,8537
DECATUR,28231,7631
DEL RIO,17889,6720
DENISON,31682,7170
DENTON,36131,6643
EAGLE PASS,34064,5722
EDINBURG,42359,9425
EL PASO,54510,8335
FORT WORTH,35194,7565
FREDERICKSBURG,13681,7432
GAINESVILLE,21727,6377
GALVESTON,37305,21790
GARLAND,24880,7472
GRAPEVINE,23100,6076
GREENVILLE,20468,6776
HAMILTON,12389,6339
HARLINGEN,34789,8408
HOUSTON,40274,8876
HUMBLE,26770,7445
HUNTSVILLE,26255,6866
IRVING,25344,6836
JACKSONVILLE,44501,7123
JOURDANTON,27501,7076
KATY,27460,6965
KAUFMAN,20365,6973
KERRVILLE,17328,7398
KILLEEN,22515,6704
KINGSVILLE,40915,6235
KINGWOOD,57549,7307
KYLE,56326,8850
LAKE JACKSON,20356,6483
LAREDO,41598,8264
LEWISVILLE,33883,7107
LIVINGSTON,36068,5785
LONGVIEW,37810,6564
LUBBOCK,39697,7328
LUFKIN,43371,6377
MARSHALL,32736,6519
MCALLEN,46610,8699
MCKINNEY,55774,6645
MESQUITE,38346,7110
MEXIA,19336,7678
MIDLAND,23783,6792
MISSION,23124,8953
MOUNT PLEASANT,13822,7480
NACOGDOCHES,31831,6311
NASSAU BAY,26761,6245
NORTH RICHLAND,38296,6626
ODESSA,29618,8110
PALESTINE,20334,7013
PARIS,17056,6395
PASADENA,45903,7626
PLANO,38345,6865
PORT ARTHUR,37186,6918
RICHARDSON,30876,7293
RICHMOND,31858,7367
ROUND ROCK,27566,6494
ROWLETT,38199,6538
SAN ANGELO,30469,6597
SAN ANTONIO,34415,8802
SEGUIN,19957,6845
SHERMAN,28233,6839
STEPHENVILLE,19811,7044
SUGAR LAND,38042,6622
SULPHUR SPRINGS,14545,6677
SUNNYVALE,39952,10973
TEMPLE,20923,7828
TEXARKANA,26596,6488
TEXAS CITY,49192,6691
THE WOODLANDS,39236,10871
TOMBALL,32477,6615
TYLER,49452,6678
VICTORIA,45574,7827
WACO,21995,6808
WAXAHACHIE,21683,6650
WEBSTER,45320,7072
WESLACO,25125,8277
WICHITA FALLS,24048,7181
