city,avgCoveredCharges,averagePayments
ALBANY,27287,9119
BAY SHORE,31760,8041
BRONX,36920,12266
BROOKLYN,23041,11917
BUFFALO,23733,8835
COOPERSTOWN,8553,8866
FLUSHING,21190,9464
FOREST HILLS,31936,8999
GLENS FALLS,11183,5146
HUNTINGTON,24946,6167
JOHNSON CITY,13228,6412
KINGSTON,25314,8060
MANHASSET,38992,10017
MIDDLETOWN,23022,6815
MINEOLA,48611,9926
MOUNT KISCO,18309,6788
NEW HYDE PARK,38083,11177
NEW YORK,39280,11993
NYACK,40148,7956
OCEANSIDE,20703,6968
PATCHOGUE,33994,6933
PLATTSBURGH,16146,8261
PORT JEFFERSON,33330,6689
POUGHKEEPSIE,23677,6727
RIVERHEAD,31420,6940
ROCHESTER,17053,8310
SARATOGA SPRING,20903,5445
SCHENECTADY,17143,5671
SMITHTOWN,36080,6639
STATEN ISLAND,23882,9358
STONY BROOK,33984,11084
SYRACUSE,19801,8266
UTICA,13256,5626
VALHALLA,73840,15819
VALLEY STREAM,31897,6828
WEST ISLIP,37509,8572
WHITE PLAINS,21980,6586
